./sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2, sat, 10, v1, 962.3453200906515
./sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2, sat, 10, v3, 534.2493462488055
./sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2, sat, 10, v1, 953.2111092619598
./sledgehammer/Fundamental_Theorem_Algebra/uf.727624.smt2, sat, 10, v3, 531.3680511564016
./sledgehammer/FFT/uf.656241.smt2, sat, 15, v1, 496.83587568998337
./sledgehammer/FFT/uf.656241.smt2, sat, 15, v3, 68.8351181820035
./sledgehammer/FFT/uf.656241.smt2, sat, 15, v1, 496.0101456306875
./sledgehammer/FFT/uf.656241.smt2, sat, 15, v3, 68.61326898634434
./sledgehammer/FFT/uf.656241.smt2, sat, 15, v1, 491.44251127168536
./sledgehammer/FFT/uf.656241.smt2, sat, 15, v3, 68.23608697578311
./sledgehammer/Hoare/uf.574997.smt2, sat, 5, v1, 668.2723202072084
./sledgehammer/Hoare/uf.574997.smt2, sat, 5, v3, 539.1539740860462
./sledgehammer/Hoare/uf.574997.smt2, sat, 5, v1, 671.7806455604732
./sledgehammer/Hoare/uf.574997.smt2, sat, 5, v3, 542.0741038545966
./sledgehammer/Hoare/uf.574997.smt2, sat, 5, v1, 669.8396863900125
./sledgehammer/Hoare/uf.574997.smt2, sat, 5, v3, 544.3556686751544
./sledgehammer/Fundamental_Theorem_Algebra/uf.918244.smt2, sat, 8, v1, 301.8336723893881
./sledgehammer/Fundamental_Theorem_Algebra/uf.918244.smt2, sat, 8, v3, 782.5074142515659
./sledgehammer/Fundamental_Theorem_Algebra/uf.918244.smt2, sat, 8, v1, 301.67805153131485
./sledgehammer/Fundamental_Theorem_Algebra/uf.918244.smt2, sat, 8, v3, 783.0268496163189
./sledgehammer/Fundamental_Theorem_Algebra/uf.918244.smt2, sat, 8, v1, 302.63129019737244
./sledgehammer/Fundamental_Theorem_Algebra/uf.918244.smt2, sat, 8, v3, 795.9661173522472
./sledgehammer/Fundamental_Theorem_Algebra/uf.1334106.smt2, sat, 10, v1, 339.27829145267606
./sledgehammer/Fundamental_Theorem_Algebra/uf.1334106.smt2, sat, 10, v3, 268.644627854228
./sledgehammer/Fundamental_Theorem_Algebra/uf.1334106.smt2, sat, 10, v1, 338.40947134047747
./sledgehammer/Fundamental_Theorem_Algebra/uf.1334106.smt2, sat, 10, v3, 272.4520769380033
./sledgehammer/Fundamental_Theorem_Algebra/uf.1334106.smt2, sat, 10, v1, 336.3980918303132
./sledgehammer/Fundamental_Theorem_Algebra/uf.1334106.smt2, sat, 10, v3, 269.9309804290533
./sledgehammer/TwoSquares/uf.810457.smt2, sat, 25, v1, 719.3142942152917
./sledgehammer/TwoSquares/uf.810457.smt2, sat, 25, v3, 775.4659099876881
./sledgehammer/TwoSquares/uf.810457.smt2, sat, 25, v1, 722.1003672033548
./sledgehammer/TwoSquares/uf.810457.smt2, sat, 25, v3, 778.0474342443049
./sledgehammer/TwoSquares/uf.810457.smt2, sat, 25, v1, 725.7340587750077
./sledgehammer/TwoSquares/uf.810457.smt2, sat, 25, v3, 783.6064748056233
./sledgehammer/FFT/uf.911849.smt2, sat, 18, v1, 435.9402230679989
./sledgehammer/FFT/uf.911849.smt2, sat, 18, v3, 846.7096531204879
./sledgehammer/FFT/uf.911849.smt2, sat, 18, v1, 432.67081432417035
./sledgehammer/FFT/uf.911849.smt2, sat, 18, v3, 833.1527883782983
