./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v3, 590.6470003575087
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v1, 594.5002648048103
./sledgehammer/Fundamental_Theorem_Algebra/uf.1266708.smt2, unsat, 25, v3, 604.755514845252
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v1, 228.19323065131903
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v3, 223.0417890585959
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v1, 212.65315145254135
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v3, 213.69512739405036
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v1, 210.3067132011056
./20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_42_094_1080705.smt_in.smt2, unsat, 9, v3, 222.08164174109697
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v1, 225.46242067962885
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v3, 157.78536134585738
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v1, 225.2259741537273
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v3, 157.47897028177977
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v1, 223.25756772235036
./sledgehammer/Hoare/uf.1004091.smt2, unsat, 10, v3, 156.32448027282953
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v1, 259.2161594480276
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v3, 343.128302924335
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v1, 258.66488752886653
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v3, 341.83829851448536
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v1, 265.4996962249279
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_08_793_2694000.smt_in.smt2, unsat, 6, v3, 341.16720915585756
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v1, 374.241155911237
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v3, 391.09540248289704
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v1, 371.95530634373426
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v3, 388.95196613669395
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v1, 372.57032692059875
./sledgehammer/FFT/uf.809442.smt2, unsat, 18, v3, 391.456191342324
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v1, 300.59778978303075
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v3, 302.89934197440743
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v1, 305.99472691491246
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v3, 301.82669726386666
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v1, 300.6074307411909
./sledgehammer/TwoSquares/uf.764813.smt2, unsat, 18, v3, 303.53289849311113
./sledgehammer/QEpres/uf.780191.smt2, unsat, 7, v1, 285.18902533501387
